number_of_reviews,minimum_nights,neighbourhood_group,room_type,price
0.009538950715421305,0.004803843074459567,0.25,0.0,200
0.001589825119236884,0.0,0.5,0.5,65
0.009538950715421305,0.0,0.25,0.5,60
0.001589825119236884,0.02241793434747798,0.5,0.0,169
0.014308426073131956,0.0,0.5,0.0,200
0.012718600953895072,0.0008006405124099279,0.25,0.0,75
0.0,0.02241793434747798,0.5,0.0,194
0.004769475357710652,0.023218574859887906,0.25,0.0,125
0.17329093799682035,0.0016012810248198558,0.75,0.0,122
0.004769475357710652,0.0,0.5,0.5,999
0.001589825119236884,0.0032025620496397116,0.25,1.0,39
0.012718600953895072,0.0016012810248198558,0.25,0.5,57
0.02384737678855326,0.004803843074459567,0.5,0.0,345
0.020667726550079493,0.0032025620496397116,0.5,0.0,225
0.001589825119236884,0.011208967173738989,0.5,0.0,64
0.0,0.011208967173738989,0.5,0.0,220
0.17806041335453102,0.0016012810248198558,0.25,0.5,75
0.0985691573926868,0.0,0.5,0.5,99
0.009538950715421305,0.0008006405124099279,0.25,0.0,247
0.05882352941176471,0.0,0.75,0.5,31
0.0,0.023218574859887906,0.25,1.0,35
0.001589825119236884,0.023218574859887906,0.75,0.5,45
0.02702702702702703,0.0016012810248198558,0.25,0.0,100
0.06677265500794913,0.0008006405124099279,0.75,0.5,60
0.0985691573926868,0.0,0.75,0.5,58
0.001589825119236884,0.0024019215372297837,0.25,0.0,60
0.014308426073131956,0.0008006405124099279,0.75,0.5,44
0.11128775834658189,0.0008006405124099279,0.5,0.5,76
0.003179650238473768,0.0032025620496397116,0.75,0.0,90
0.0,0.0,0.5,0.0,150
0.004769475357710652,0.0,0.5,1.0,49
0.044515103338632754,0.0016012810248198558,0.25,0.0,200
0.02384737678855326,0.0008006405124099279,1.0,0.0,185
0.0,0.0008006405124099279,0.25,0.0,100
0.004769475357710652,0.0032025620496397116,0.25,0.5,50
0.007949125596184421,0.0008006405124099279,0.25,0.0,150
0.001589825119236884,0.0032025620496397116,0.25,0.5,95
0.0,0.0,0.25,0.5,50
0.001589825119236884,0.017614091273018412,0.5,0.0,300
0.0,0.0016012810248198558,0.5,0.5,159
0.0,0.004803843074459567,0.5,0.0,310
0.08267090620031797,0.0,0.5,0.5,120
0.0,0.0,0.5,0.5,75
0.001589825119236884,0.0008006405124099279,0.25,0.5,40
0.014308426073131956,0.0008006405124099279,0.25,0.0,75
0.006359300476947536,0.004803843074459567,0.5,0.5,169
0.007949125596184421,0.004803843074459567,0.5,0.5,59
0.012718600953895072,0.0008006405124099279,0.5,0.0,123
0.05087440381558029,0.0008006405124099279,0.75,0.0,165
0.003179650238473768,0.023218574859887906,0.5,0.5,45
0.02384737678855326,0.0008006405124099279,0.25,0.5,38
0.007949125596184421,0.0016012810248198558,0.5,0.0,1500
0.2591414944356121,0.07125700560448359,0.5,0.5,105
0.48012718600953896,0.0,0.75,0.5,50
0.17806041335453102,0.0008006405124099279,0.5,0.0,70
0.06359300476947537,0.0008006405124099279,0.5,0.0,220
0.001589825119236884,0.0,0.25,0.5,45
0.012718600953895072,0.007205764611689351,0.25,0.0,305
0.0,0.0016012810248198558,0.25,0.0,102
0.0,0.0008006405124099279,0.5,1.0,60
0.041335453100158986,0.0016012810248198558,0.5,0.5,109
0.017488076311605726,0.0008006405124099279,0.25,0.0,200
0.0,0.02241793434747798,0.5,0.0,100
0.2702702702702703,0.0008006405124099279,0.5,0.0,260
0.001589825119236884,0.02241793434747798,0.5,0.0,130
0.006359300476947536,0.0032025620496397116,0.75,0.0,170
0.004769475357710652,0.0024019215372297837,0.5,0.5,139
0.1192368839427663,0.0,0.25,0.0,162
0.007949125596184421,0.0,0.75,1.0,45
0.009538950715421305,0.0024019215372297837,0.25,0.5,70
0.13195548489666137,0.0008006405124099279,0.75,0.0,79
0.015898251192368842,0.0016012810248198558,0.75,0.5,42
0.03815580286168522,0.0008006405124099279,0.5,0.0,650
0.18282988871224168,0.0008006405124099279,0.25,0.0,210
0.001589825119236884,0.0,0.5,0.0,800
0.0,0.0024019215372297837,0.5,0.0,175
0.02384737678855326,0.0032025620496397116,0.5,0.0,120
0.007949125596184421,0.0016012810248198558,0.5,0.0,737
0.004769475357710652,0.0016012810248198558,0.5,0.5,65
0.017488076311605726,0.0,0.25,0.0,144
0.35135135135135137,0.0,0.5,0.5,140
0.03656597774244833,0.0016012810248198558,0.25,0.0,140
0.009538950715421305,0.0032025620496397116,0.5,0.0,150
0.004769475357710652,0.0032025620496397116,0.25,0.5,45
0.03656597774244833,0.0016012810248198558,0.5,0.5,65
0.017488076311605726,0.0008006405124099279,0.25,0.0,120
0.2098569157392687,0.0032025620496397116,0.5,0.0,105
0.004769475357710652,0.0008006405124099279,0.25,0.5,70
0.017488076311605726,0.0016012810248198558,0.5,0.5,55
0.0397456279809221,0.0024019215372297837,0.5,0.5,109
0.07472178060413355,0.023218574859887906,0.25,0.0,200
0.003179650238473768,0.004803843074459567,0.25,0.5,40
0.10492845786963435,0.0008006405124099279,0.5,0.0,250
0.012718600953895072,0.0008006405124099279,0.25,0.5,54
0.033386327503974564,0.0024019215372297837,0.25,0.5,47
0.0,0.0032025620496397116,0.5,0.0,155
0.01907790143084261,0.0,0.5,0.0,119
0.030206677265500796,0.0024019215372297837,0.25,0.5,49
0.001589825119236884,0.0,0.5,0.5,200
0.004769475357710652,0.0,0.25,0.5,75
0.2861685214626391,0.0008006405124099279,0.25,0.0,275
0.012718600953895072,0.0024019215372297837,0.25,0.5,34
0.001589825119236884,0.023218574859887906,0.5,0.0,105
0.003179650238473768,0.0008006405124099279,0.75,0.5,50
